Name	Major_Name	Marker	Ensembl	Major_Coefficient	Minor_Coefficient	Queried	Queried_Name	Queried_Marker	Queried_Major_Name	Parent_Name
BC1A	BC	Frmd3	Frmd3		0.211808329295631	Queried	BC1A	Frmd3	BC	
BC1B	BC	Vsx2	Vsx2		0.211481524661739	Queried	BC1B	Vsx2	BC	
BC2	BC	Neto1	Neto1		0.586139580574126	Queried	BC2	Neto1	BC	
BC2	BC	Rcvrn	Rcvrn		0.182735088391433	Queried	BC2	Rcvrn	BC	
BC5B	BC	Epb41l2	Epb41l2		0.264639929579434	Queried	BC5B	Epb41l2	BC	
BC5B	BC	Prph2	Prph2		0.30282006005227	Queried	BC5B	Prph2	BC	
BC5C	BC	Tmem200a	Tmem200a		0.295578859893724	Queried	BC5C	Tmem200a	BC	
BC5C	BC	Vwc2l	Vwc2l		0.485922524659829	Queried	BC5C	Vwc2l	BC	
BC5D	BC	Epha7	Epha7		0.26510929076967	Queried	BC5D	Epha7	BC	
BC5D	BC	Neurod4	Neurod4		0.19017132811086	Queried	BC5D	Neurod4	BC	
BC7	BC	Cdh9	Cdh9		0.355928604667107	Queried	BC7	Cdh9	BC	
BC7	BC	Tmsb10	Tmsb10		0.272207271225659	Queried	BC7	Tmsb10	BC	
RBC	BC	Cep112	Cep112		0.200276494551768	Queried	RBC	Cep112	BC	
RBC	BC	Mt1	Mt1		0.257431546116214	Queried	RBC	Mt1	BC	
CONE	Cone	Arr3	Arr3		0.455200124930868	Queried	Cone	Arr3	Cone	
CONE	Cone	Gm32442	Gm32442		0.118205895388088	Queried	Cone	Gm32442	Cone	
CONE	Cone	Lrfn2	Lrfn2		0.131035941235862	Queried	Cone	Lrfn2	Cone	
CONE	Cone	Opn1mw	Opn1mw		0.383761363250838	Queried	Cone	Opn1mw	Cone	
CONE	Cone	Opn1sw	Opn1sw		0.237587899781539	Queried	Cone	Opn1sw	Cone	
CONE	Cone	Pde6c	Pde6c		0.266707091150839	Queried	Cone	Pde6c	Cone	
CONE	Cone	Pde6h	Pde6h		0.453944207027415	Queried	Cone	Pde6h	Cone	
CONE	Cone	Rbp3	Rbp3		0.155754855969704	Queried	Cone	Rbp3	Cone	
CONE	Cone	Rtbdn	Rtbdn		0.104211278244897	Queried	Cone	Rtbdn	Cone	
ENDOTHELIAL	Endothelial	Adgrl4	Adgrl4		0.172500161017104	Queried	Endothelial	Adgrl4	Endothelial	
ENDOTHELIAL	Endothelial	Arl15	Arl15		0.13856289077623	Queried	Endothelial	Arl15	Endothelial	
ENDOTHELIAL	Endothelial	Bsg	Bsg		0.135233537352829	Queried	Endothelial	Bsg	Endothelial	
ENDOTHELIAL	Endothelial	Cldn5	Cldn5		0.335506606676733	Queried	Endothelial	Cldn5	Endothelial	
ENDOTHELIAL	Endothelial	Ctla2a	Ctla2a		0.140342951149718	Queried	Endothelial	Ctla2a	Endothelial	
ENDOTHELIAL	Endothelial	Flt1	Flt1		0.271814597852484	Queried	Endothelial	Flt1	Endothelial	
ENDOTHELIAL	Endothelial	Id1	Id1		0.131389266425371	Queried	Endothelial	Id1	Endothelial	
ENDOTHELIAL	Endothelial	Itm2a	Itm2a		0.189257086563552	Queried	Endothelial	Itm2a	Endothelial	
ENDOTHELIAL	Endothelial	Klf2	Klf2		0.146926530071474	Queried	Endothelial	Klf2	Endothelial	
ENDOTHELIAL	Endothelial	Ly6a	Ly6a		0.165822988201259	Queried	Endothelial	Ly6a	Endothelial	
ENDOTHELIAL	Endothelial	Ly6c1	Ly6c1		0.21631193586958	Queried	Endothelial	Ly6c1	Endothelial	
ENDOTHELIAL	Endothelial	Mecom	Mecom		0.145194616276628	Queried	Endothelial	Mecom	Endothelial	
ENDOTHELIAL	Endothelial	Pltp	Pltp		0.176753807089356	Queried	Endothelial	Pltp	Endothelial	
ENDOTHELIAL	Endothelial	Ptprb	Ptprb		0.152349510446106	Queried	Endothelial	Ptprb	Endothelial	
ENDOTHELIAL	Endothelial	Slco1a4	Slco1a4		0.144399461520577	Queried	Endothelial	Slco1a4	Endothelial	
ENDOTHELIAL	Endothelial	Tm4sf1	Tm4sf1		0.1242595915227	Queried	Endothelial	Tm4sf1	Endothelial	
HC	HC	Arhgap15	Arhgap15		0.216445518698613	Queried	HC	Arhgap15	HC	
HC	HC	Dock4	Dock4		0.182557832373958	Queried	HC	Dock4	HC	
HC	HC	Ndrg1	Ndrg1		0.236791401166929	Queried	HC	Ndrg1	HC	
HC	HC	Utrn	Utrn		0.214197970415914	Queried	HC	Utrn	HC	
HC	HC	Vim	Vim		0.329297352140435	Queried	HC	Vim	HC	
HC	HC	Vwc2	Vwc2		0.164677137918127	Queried	HC	Vwc2	HC	
MG	MG	Abca8a	Abca8a		0.234912560792446	Queried	MG	Abca8a	MG	
MG	MG	Acsl3	Acsl3		0.352118886860666	Queried	MG	Acsl3	MG	
MG	MG	Aqp4	Aqp4		0.346058551494767	Queried	MG	Aqp4	MG	
MG	MG	Col9a1	Col9a1		0.361425361233668	Queried	MG	Col9a1	MG	
