Marker,Name,Major_Coefficient,Parent_Name,Minor_Coefficient,Queried,Queried_Marker,Queried_Name,Queried_Parent_Name
Marchf1,ROD,0.420851551484006,ROD,,Queried,Marchf1,Rod,Rod
Hcn1,UNASSIGNED_AC,,AC,0.23240959367652,Queried,Hcn1,UNASSIGNED_AC,AC
Tac2,UNASSIGNED_AC,,AC,0.304461372956893,Queried,Tac2,UNASSIGNED_AC,AC
Ptgds,UNASSIGNED_AC,,AC,0.207021384939125,Queried,Ptgds,UNASSIGNED_AC,AC
Kcnip4,UNASSIGNED_AC,,AC,0.239891484217662,Queried,Kcnip4,UNASSIGNED_AC,AC
Car10,UNASSIGNED_AC,,AC,0.417701507934367,Queried,Car10,UNASSIGNED_AC,AC
Stmn2,UNASSIGNED_AC,,AC,0.235801159504292,Queried,Stmn2,UNASSIGNED_AC,AC
Otx2os1,UNASSIGNED_AC,,AC,0.28100705124839,Queried,Otx2os1,UNASSIGNED_AC,AC
Ctnna2,UNASSIGNED_AC,,AC,0.248813318013011,Queried,Ctnna2,UNASSIGNED_AC,AC
Dmd,UNASSIGNED_AC,,AC,0.257199999460754,Queried,Dmd,UNASSIGNED_AC,AC
Snca,UNASSIGNED_AC,,AC,0.186853623261724,Queried,Snca,UNASSIGNED_AC,AC
Zfp804b,UNASSIGNED_AC,,AC,0.575879370549771,Queried,Zfp804b,UNASSIGNED_AC,AC
Ptprd,UNASSIGNED_AC,,AC,0.20735691099174,Queried,Ptprd,UNASSIGNED_AC,AC
Galntl6,UNASSIGNED_AC,,AC,0.200624926712563,Queried,Galntl6,UNASSIGNED_AC,AC
Pam,UNASSIGNED_AC,,AC,0.179037444279386,Queried,Pam,UNASSIGNED_AC,AC
Unc5d,AC1,,AC,0.457447491563776,Queried,Unc5d,AC_1,AC
Filip1l,AC1,,AC,0.373811205624543,Queried,Filip1l,AC_1,AC
Chst9,AC1,,AC,0.699933249645424,Queried,Chst9,AC_1,AC
Fgf14,AC1,,AC,0.413553878541178,Queried,Fgf14,AC_1,AC
Ptn,AC1,,AC,0.863407807778433,Queried,Ptn,AC_1,AC
Tenm4,AC1,,AC,0.37679456644765,Queried,Tenm4,AC_1,AC
Bhlhe22,AC1,,AC,0.750527324649728,Queried,Bhlhe22,AC_1,AC
Tenm2,AC1,,AC,0.579669466972094,Queried,Tenm2,AC_1,AC
Cacna2d1,AC1,,AC,0.609408410114082,Queried,Cacna2d1,AC_1,AC
Slit2,AC1,,AC,0.814131390923741,Queried,Slit2,AC_1,AC
Stmn1,AC1,,AC,0.414927419045608,Queried,Stmn1,AC_1,AC
Glul,AC1,,AC,0.430262159121851,Queried,Glul,AC_1,AC
Lingo2,AC1,,AC,0.597792700244748,Queried,Lingo2,AC_1,AC
Nrcam,AC1,,AC,0.387476388799825,Queried,Nrcam,AC_1,AC
Tenm3,AC1,,AC,0.658799110910042,Queried,Tenm3,AC_1,AC
Rbfox1,AC1,,AC,0.561531625451876,Queried,Rbfox1,AC_1,AC
Runx1t1,AC1,,AC,0.524605178818144,Queried,Runx1t1,AC_1,AC
Nrxn1,AC10,,AC,0.339956628308168,Queried,Nrxn1,AC_10,AC
Tenm2,AC10,,AC,0.328006191057064,Queried,Tenm2,AC_10,AC
Prkcb,AC10,,AC,0.300564574298399,Queried,Prkcb,AC_10,AC
Camk2n1,AC10,,AC,0.230524870812364,Queried,Camk2n1,AC_10,AC
Kirrel3,AC10,,AC,0.399993016388437,Queried,Kirrel3,AC_10,AC
Kcnip4,AC10,,AC,0.479949351070283,Queried,Kcnip4,AC_10,AC
Cntn6,AC10,,AC,0.889469515668466,Queried,Cntn6,AC_10,AC
Sox5,AC10,,AC,0.251290244398863,Queried,Sox5,AC_10,AC
Grik2,AC10,,AC,0.636300197624468,Queried,Grik2,AC_10,AC
Pde1c,AC10,,AC,0.234427531758772,Queried,Pde1c,AC_10,AC
Cacnb2,AC10,,AC,0.277471616810602,Queried,Cacnb2,AC_10,AC
Ebf1,AC10,,AC,0.256795255593647,Queried,Ebf1,AC_10,AC
Slc24a3,AC10,,AC,0.233522240126595,Queried,Slc24a3,AC_10,AC
Schip1,AC10,,AC,0.257102174022701,Queried,Schip1,AC_10,AC
Nckap5,AC10,,AC,0.526493340937973,Queried,Nckap5,AC_10,AC
Tfap2b,AC11,,AC,0.139506322786277,Queried,Tfap2b,AC_11,AC
Pde3a,AC11,,AC,0.139692794651741,Queried,Pde3a,AC_11,AC
Ptprm,AC11,,AC,0.13318639390339,Queried,Ptprm,AC_11,AC
Car8,AC11,,AC,0.117888538237446,Queried,Car8,AC_11,AC
Lrrc4c,AC11,,AC,0.15285506190959,Queried,Lrrc4c,AC_11,AC
Kcnd2,AC11,,AC,0.176058818037783,Queried,Kcnd2,AC_11,AC
