Gene,Cell,Subclass,Ensembl,Gene,Coefficient
Ppp3ca,RGC,20_Novel,ENSMUSG00000028161,Ppp3ca,0.6026781622503488
Tubb2a,RGC,20_Novel,ENSMUSG00000058672,Tubb2a,0.392169737900115
Robo1,RGC,20_Novel,ENSMUSG00000022883,Robo1,0.4304286911558583
Gm32647,RGC,20_Novel,ENSMUSG00000108532,Gm32647,0.482192999051069
Cntn5,RGC,20_Novel,ENSMUSG00000039488,Cntn5,0.5305039332248842
Tshz2,RGC,20_Novel,ENSMUSG00000047907,Tshz2,0.4070051043385401
Meis2,RGC,20_Novel,ENSMUSG00000027210,Meis2,1.24752973110594
Inpp4b,RGC,20_Novel,ENSMUSG00000037940,Inpp4b,0.6511945985677587
Mast4,RGC,21_Tbr1_S2,ENSMUSG00000034751,Mast4,0.3832516507262038
Nlgn1,RGC,21_Tbr1_S2,ENSMUSG00000063887,Nlgn1,0.6655777587246468
Ntng1,RGC,21_Tbr1_S2,ENSMUSG00000059857,Ntng1,0.4303021567158483
Gabrg3,RGC,21_Tbr1_S2,ENSMUSG00000055026,Gabrg3,0.5715546838072817
Sgcz,RGC,21_Tbr1_S2,ENSMUSG00000039539,Sgcz,0.7407042860091257
Pcp4,RGC,21_Tbr1_S2,ENSMUSG00000090223,Pcp4,0.7574634322381393
Lrrc4c,RGC,21_Tbr1_S2,ENSMUSG00000050587,Lrrc4c,1.2465637489968893
Rgs4,RGC,21_Tbr1_S2,ENSMUSG00000038530,Rgs4,0.4002021140216297
Khdrbs2,RGC,21_Tbr1_S2,ENSMUSG00000026058,Khdrbs2,0.3796337968128436
Mgat4c,RGC,21_Tbr1_S2,ENSMUSG00000019888,Mgat4c,0.3964206516404508
Slc35f1,RGC,21_Tbr1_S2,ENSMUSG00000038602,Slc35f1,0.5964050736203994
Zfhx3,RGC,21_Tbr1_S2,ENSMUSG00000038872,Zfhx3,0.6562628804820622
Cntn5,RGC,21_Tbr1_S2,ENSMUSG00000039488,Cntn5,0.6850125132330944
Asic2,RGC,21_Tbr1_S2,ENSMUSG00000020704,Asic2,0.5867193859884787
Tafa2,RGC,21_Tbr1_S2,ENSMUSG00000044071,Tafa2,0.404626777615807
Tshz2,RGC,21_Tbr1_S2,ENSMUSG00000047907,Tshz2,0.5210168815334919
Pcdh9,RGC,22_M5,ENSMUSG00000055421,Pcdh9,0.517455130605945
Gpc5,RGC,22_M5,ENSMUSG00000022112,Gpc5,1.150243165212561
Unc5d,RGC,22_M5,ENSMUSG00000063626,Unc5d,0.6841020090305485
Dkk3,RGC,22_M5,ENSMUSG00000030772,Dkk3,0.4303992084282951
Caln1,RGC,22_M5,ENSMUSG00000060371,Caln1,0.7369054632532697
Sgcd,RGC,22_M5,ENSMUSG00000020354,Sgcd,0.7042601186920114
Ctxn3,RGC,22_M5,ENSMUSG00000069372,Ctxn3,0.7830890432120263
Ntm,RGC,22_M5,ENSMUSG00000059974,Ntm,0.5076793873314849
Rps12,RGC,22_M5,ENSMUSG00000061983,Rps12,0.4427663969100542
Cdh12,RGC,22_M5,ENSMUSG00000040452,Cdh12,0.6150522415400158
Rph3a,RGC,22_M5,ENSMUSG00000029608,Rph3a,0.4042945997636177
Pcsk2,RGC,22_M5,ENSMUSG00000027419,Pcsk2,0.6313294189705003
Pcp4,RGC,22_M5,ENSMUSG00000090223,Pcp4,0.6761239446593852
Pcp4l1,RGC,22_M5,ENSMUSG00000038370,Pcp4l1,0.4341817829775221
Kirrel3,RGC,22_M5,ENSMUSG00000032036,Kirrel3,0.9646377133079932
Trhde,RGC,22_M5,ENSMUSG00000050663,Trhde,0.8864567825414427
Pvalb,RGC,23_W3D2,ENSMUSG00000005716,Pvalb,0.9855826353865932
Tppp3,RGC,23_W3D2,ENSMUSG00000014846,Tppp3,0.7408681443129588
Ogfrl1,RGC,23_W3D2,ENSMUSG00000026158,Ogfrl1,0.8089279179099961
