Gene,Cell,Subclass,Ensembl,Gene,Coefficient
Alk,RGC,27_Novel,ENSMUSG00000055471,Alk,0.5127904665252782
Hs6st3,RGC,27_Novel,ENSMUSG00000053465,Hs6st3,0.3462502515865244
Kcnip1,RGC,27_Novel,ENSMUSG00000053519,Kcnip1,0.5301817767341425
Sgcd,RGC,27_Novel,ENSMUSG00000020354,Sgcd,0.8384275619530538
Dab1,RGC,27_Novel,ENSMUSG00000028519,Dab1,0.4651758539413531
Cck,RGC,27_Novel,ENSMUSG00000032532,Cck,0.5135969005571338
Fat3,RGC,27_Novel,ENSMUSG00000074505,Fat3,0.5121966395146387
Nefm,RGC,27_Novel,ENSMUSG00000022054,Nefm,0.4266276985462688
Cplx2,RGC,28_FmidiOFF,ENSMUSG00000025867,Cplx2,0.6476580495412525
Pcdh9,RGC,28_FmidiOFF,ENSMUSG00000055421,Pcdh9,0.6615472355059038
Pvalb,RGC,28_FmidiOFF,ENSMUSG00000005716,Pvalb,0.6778732092873637
Cntn5,RGC,28_FmidiOFF,ENSMUSG00000039488,Cntn5,0.8121176144016798
Sorcs1,RGC,28_FmidiOFF,ENSMUSG00000043531,Sorcs1,0.3850585038759005
Sphkap,RGC,28_FmidiOFF,ENSMUSG00000026163,Sphkap,0.5462018710439009
Pcdh11x,RGC,28_FmidiOFF,ENSMUSG00000034755,Pcdh11x,0.4834980221551869
Scg2,RGC,28_FmidiOFF,ENSMUSG00000050711,Scg2,0.3869078266356072
Tac1,RGC,28_FmidiOFF,ENSMUSG00000061762,Tac1,1.034622072322885
Gabra2,RGC,28_FmidiOFF,ENSMUSG00000000560,Gabra2,0.5618321010900973
Lhfpl3,RGC,28_FmidiOFF,ENSMUSG00000106379,Lhfpl3,0.394156870071517
Kcnb2,RGC,28_FmidiOFF,ENSMUSG00000092083,Kcnb2,0.4904118420001645
Robo1,RGC,28_FmidiOFF,ENSMUSG00000022883,Robo1,0.5193273707194045
Synpr,RGC,28_FmidiOFF,ENSMUSG00000056296,Synpr,0.726085154550256
Rprm,RGC,28_FmidiOFF,ENSMUSG00000075334,Rprm,0.523157099985828
Cst3,RGC,29_Novel,ENSMUSG00000027447,Cst3,0.6641692896813263
Kirrel3,RGC,29_Novel,ENSMUSG00000032036,Kirrel3,0.4849872905593678
Cplx1,RGC,29_Novel,ENSMUSG00000033615,Cplx1,0.8102719837770516
Zmat4,RGC,29_Novel,ENSMUSG00000037492,Zmat4,0.5042425685184566
Isl1,RGC,29_Novel,ENSMUSG00000042258,Isl1,0.6715033399626863
Sphkap,RGC,29_Novel,ENSMUSG00000026163,Sphkap,0.6918873768138089
Nlgn1,RGC,29_Novel,ENSMUSG00000063887,Nlgn1,0.7254563327027015
