Name	Marker	Curated	Queried
AC19	Khdrbs3		Queried
AC25	Khdrbs3		Queried
AC29	Khdrbs3		Queried
AC10	Kirrel3		Queried
AC22	Kirrel3		Queried
AC27	Kirrel3		Queried
AC34	Kirrel3		Queried
AC35	Kirrel3		Queried
AC37	Kirrel3		Queried
AC40	Kirrel3		Queried
AC44	Kirrel3		Queried
AC45	Kirrel3		Queried
AC57	Kirrel3		Queried
AC8	Kirrel3		Queried
AC15	Lamp5		Queried
AC23	Lamp5		Queried
AC33	Lamp5		Queried
AC9	Lamp5		Queried
MOUSE AC	Lamp5		Queried
AC50	Ldb2	Curated	Queried
MOUSE AC	Ldhb		Queried
AC30	Lgfbp5	Curated	
AC30	Lgr5		Queried
AC19	Lhfp		Queried
AC2	Lhfp		Queried
AC1	Lingo2		Queried
AC14	Lingo2		Queried
AC32	Lingo2		Queried
AC41	Lingo2		Queried
AC47	Lingo2		Queried
AC49	Lingo2		Queried
AC5	Lingo2		Queried
AC50	Lingo2		Queried
AC55	Lingo2		Queried
AC61	Lingo2		Queried
AC21	Lmo4		Queried
AC37	Lmo4		Queried
AC24	Lrfn5		Queried
AC30	Lrfn5		Queried
AC4	Lrfn5		Queried
AC52	Lrfn5		Queried
AC24	Lrp1b		Queried
AC29	Lrp1b		Queried
AC30	Lrp1b		Queried
AC38	Lrp1b		Queried
AC48	Lrp1b		Queried
AC51	Lrp1b		Queried
AC58	Lrp1b		Queried
AC11	Lrrc4c		Queried
AC21	Lrrc4c		Queried
AC40	Lrrc4c		Queried
AC44	Lrrc4c		Queried
AC47	Lrrc4c		Queried
AC48	Lrrc4c		Queried
AC55	Lrrc4c		Queried
AC6	Lrrc4c		Queried
AC8	Lrrc4c		Queried
AC27	Lrrtm4		Queried
AC36	Lrrtm4		Queried
AC39	Lrrtm4		Queried
AC43	Lrrtm4		Queried
AC47	Lrrtm4		Queried
AC55	Lrrtm4		Queried
AC61	Lrrtm4		Queried
AC56	Lrtm1	Curated	
AC20	Lsamp		Queried
AC38	Lsamp		Queried
MOUSE AC	Ly6h		Queried
AC2	Maf		Queried
AC32	Maf		Queried
AC55	Mafb	Curated	
AC3	Magi2		Queried
AC34	Map1b		Queried
AC33	Mast4		Queried
AC28	Mdga2		Queried
AC39	Mef2c	Curated	
AC17	Megf11		Queried
AC14	Meis2		Queried
AC22	Meis2		Queried
AC29	Meis2		Queried
AC41	Meis2		Queried
AC4	Mgarp		Queried
AC11	Mgat4c		Queried
AC23	Mgat4c		Queried
AC26	Mgat4c		Queried
AC36	Mgat4c		Queried
AC38	Mgat4c		Queried
AC41	Mgat4c		Queried
AC44	Mgat4c		Queried
AC45	Mgat4c		Queried
AC46	Mgat4c		Queried
AC54	Mgat4c		Queried
AC9	Mgat4c		Queried
AC4	Mt1		Queried
AC7	Mxra7		Queried
AC29	Myo16		Queried
AC34	Nap1l1		Queried
AC45	Nap1l5		Queried
AC54	Nap1l5		Queried
AC50	Nav2		Queried
AC6	Nav2		Queried
AC34	Nav3		Queried
AC45	Nav3		Queried
AC63	Nav3		Queried
AC20	Ncam2		Queried
AC21	Ncam2		Queried
AC32	Ncam2		Queried
AC40	Ncam2		Queried
AC58	Ncam2		Queried
AC	Nckap5		Queried
AC10	Nckap5		Queried
AC29	Nckap5		Queried
AC5	Nckap5		Queried
AC3	Nebl		Queried
AC51	Necab2		Queried
AC6	Nefh	Curated	
AC46	Nefl		Queried
AC46	Nefm	Curated	
AC18	Negr1		Queried
AC29	Nell1		Queried
AC24	Neurod6	Curated	
AC22	Nfia		Queried
AC26	Nfia		Queried
AC3	Nfia		Queried
AC40	Nfia		Queried
AC9	Nfia		Queried
AC28	Nfib	Curated	
AC53	Ngf	Curated	
AC36	Nkain3		Queried
AC39	Nkain3		Queried
AC15	Nlgn1		Queried
AC20	Nlgn1		Queried
AC30	Nlgn1		Queried
AC45	Nlgn1		Queried
AC15	Nnat		Queried
AC37	Nnat		Queried
AC45	Nnat		Queried
AC51	Nnat		Queried
AC55	Nnat		Queried
