Cell Type,Gene,Coefficient
20_Novel,Sorcs1,-0.4691509582752524
21_Tbr1_S2,Lrrc4c,1.123008038980898
21_Tbr1_S2,Sgcz,0.7965735439936534
21_Tbr1_S2,Calb2,0.6862973259204184
21_Tbr1_S2,Nlgn1,0.6108752161196765
21_Tbr1_S2,Pvalb,0.6015654076675525
21_Tbr1_S2,Rgs4,0.5995325108545929
21_Tbr1_S2,Tshz2,0.5979978606690086
21_Tbr1_S2,Cntn5,0.5479634327988335
21_Tbr1_S2,Pcp4,0.5202218423727691
21_Tbr1_S2,Hpgd,0.511288245723307
21_Tbr1_S2,Tafa2,0.4729829423438547
21_Tbr1_S2,Gabrg3,0.4692475471664814
21_Tbr1_S2,Asic2,0.46178691222244883
21_Tbr1_S2,Mast4,0.4488692573763955
21_Tbr1_S2,Ntng1,0.4293622638660497
21_Tbr1_S2,Mgat4c,0.40603960557639296
21_Tbr1_S2,Tppp3,0.3921743356261881
21_Tbr1_S2,Nefm,0.38889288774082703
21_Tbr1_S2,Nrgn,0.3813077685023071
21_Tbr1_S2,Zeb2,0.37149953884377285
21_Tbr1_S2,Scg2,-0.7128757274712708
21_Tbr1_S2,Lrp1b,-0.6810876250021296
21_Tbr1_S2,Kcnip4,-0.6757368593574298
21_Tbr1_S2,Zfp804b,-0.5527434905710779
21_Tbr1_S2,Ralyl,-0.5462027983122767
21_Tbr1_S2,Dach1,-0.5390832487239827
21_Tbr1_S2,mt-Nd1,-0.5215444460118308
21_Tbr1_S2,Synpr,-0.5107462861438868
21_Tbr1_S2,Hcn1,-0.4973206181998094
21_Tbr1_S2,Tmsb10,-0.4903295784626321
21_Tbr1_S2,Kctd8,-0.48255718870183345
21_Tbr1_S2,Lhfpl3,-0.4744963899287042
21_Tbr1_S2,Rgs10,-0.4487295165848212
21_Tbr1_S2,Csmd3,-0.4431607474403024
21_Tbr1_S2,Cartpt,-0.43423666125737165
21_Tbr1_S2,Actb,-0.43332816836921606
21_Tbr1_S2,Pcdh9,-0.424761362213907
21_Tbr1_S2,Pcdh10,-0.42228999736101075
21_Tbr1_S2,Pex5l,-0.4220558159435795
21_Tbr1_S2,Grm8,-0.4110130148381413
22_M5,Gpc5,0.7321782949559626
22_M5,Sgcd,0.6724978878415582
22_M5,Trhde,0.6389514207983672
22_M5,Ctxn3,0.6136321352889138
22_M5,Kirrel3,0.4629985240916598
22_M5,Pcp4,0.4351007969697442
22_M5,Aldoc,0.3351661976810666
22_M5,Galntl6,0.32146679927691557
22_M5,Csmd1,0.2649043928129596
22_M5,Lrp1b,0.24648047082724606
22_M5,Mgat4c,0.24242950119153933
22_M5,Pcdh15,0.23810352486037706
22_M5,Hs3st4,0.2280649992887316
22_M5,Pcp4l1,0.22330489315627505
22_M5,Rgs6,0.21683667992386463
22_M5,Sox6,0.21528051916895607
22_M5,Nkain2,0.21139661816047306
22_M5,Nebl,0.21087926137344892
22_M5,Tenm3,0.209966200073577
22_M5,Ndnf,0.20717420398578854
22_M5,Asic2,-0.6202994263472594
22_M5,mt-Nd1,-0.4909386013481036
22_M5,Gabrg3,-0.38494174656212
22_M5,Kcnip4,-0.36183068201983165
22_M5,Zfp804b,-0.3407628344798603
22_M5,Synpr,-0.3367618741838355
22_M5,Kcnd2,-0.3251165197451904
22_M5,Calb2,-0.31984688192061805
22_M5,Pcdh7,-0.3155060997994731
22_M5,Actb,-0.31034881875922876
22_M5,Spp1,-0.3004852427231348
22_M5,Ralyl,-0.2918085642452341
22_M5,Ftl1,-0.2883209214250812
22_M5,Grin2a,-0.2819383429485027
22_M5,Tmsb10,-0.27308029820591356
22_M5,Tppp3,-0.2570381607108104
22_M5,Nrg1_ENSMUSG00000062991,-0.2514761843030262
22_M5,Ntng1,-0.24335718307640028
22_M5,Clu,-0.23616776798492692
22_M5,Tac1,-0.23378538719054615
23_W3D2,Chrm2,1.3291440316344667
23_W3D2,Mafb,1.1891044767902117
23_W3D2,Pvalb,1.163741159863505
23_W3D2,Tppp3,0.8633067077348715
23_W3D2,Kcnd2,0.858019142812104
23_W3D2,6330411D24Rik,0.8378659434657013
23_W3D2,Dpp10,0.7646988728891612
23_W3D2,Ptn,0.6024434905424283
23_W3D2,Hpgd,0.577668933475605
23_W3D2,Sphkap,0.56764489893787
23_W3D2,Pcdh7,0.5625357464322275
23_W3D2,Gabrg3,0.4872065008183909
23_W3D2,Lrrc4c,0.4678316373514534
23_W3D2,Egfem1,0.456904972507155
23_W3D2,Rbfox1,0.37054654215032695
23_W3D2,Grm7,0.3688746102618426
23_W3D2,Nrn1,0.3437977546277868
23_W3D2,Isl1,0.3201897520338038
23_W3D2,Grm1,0.31954776759601095
23_W3D2,Maml2,0.3179029864263043
23_W3D2,Calb1,-0.8788644069149725
23_W3D2,Lrp1b,-0.8751819694449073
23_W3D2,Mgat4c,-0.8370024249679827
23_W3D2,Cpne4,-0.801225549638834
23_W3D2,Nlgn1,-0.7652557891935268
23_W3D2,Meis2,-0.7648679260938915
23_W3D2,Scg2,-0.6329121732345839
23_W3D2,Grid2,-0.6077527892496997
23_W3D2,Nrgn,-0.5544629117927464
23_W3D2,Sorcs1,-0.5365127815534383
23_W3D2,Nkain3,-0.48488636638931704
23_W3D2,Actb,-0.48407582686090883
23_W3D2,Mt1,-0.4836347671364374
23_W3D2,Cartpt,-0.48307709203531624
23_W3D2,Lrrtm4,-0.46556402825754223
23_W3D2,Pcdh9,-0.46351139471554664
